,open,high,low,close,volume
2020/2/21,1111.46,1123.54,1110.01,1112.88,17269
2020/2/24,1105.5,1110,1085.5,1087.18,23648
2020/2/25,1078,1082.09,1067.88,1074.81,24659
2020/2/26,1062,1084,1055,1073.7,23666
2020/2/27,1076,1094.99,1076,1087.39,21326
2020/2/28,1070.3,1082,1049.97,1057,29477
2020/3/2,1050.11,1096.55,1050.01,1086.01,28810
2020/3/3,1098,1118.88,1098,1113,28626
2020/3/4,1125,1139,1116.24,1128.92,31129
2020/3/5,1136.31,1174.99,1130.56,1171,35439
2020/3/6,1163,1176,1151.98,1155.5,18995
2020/3/9,1135,1135,1111.31,1114.01,27893
2020/3/10,1113,1168,1113,1156,31639
2020/3/11,1155.5,1169.58,1141,1158.52,20217
2020/3/12,1141.22,1153,1125.1,1138.5,22347
2020/3/13,1090,1128.98,1080,1112.03,41541
2020/3/16,1103.98,1107.95,1062,1067,31942
2020/3/17,1055,1078,1011.12,1045.1,43069
2020/3/18,1040,1060,1007.99,1007.99,41878
2020/3/19,993.99,1015,960.1,996,54007
2020/3/20,1011,1043,1011,1035.28,32505
2020/3/23,1000,1035.28,991.52,1019,29811
2020/3/24,1043,1058.88,1035,1056,26310
2020/3/25,1087.98,1091.36,1074.2,1080.1,20724
2020/3/26,1073.33,1091.2,1062,1064.92,19097
2020/3/27,1085,1092,1075.01,1075.5,20373
2020/3/30,1060.25,1077,1057,1072,18402
2020/3/31,1082,1115,1081.8,1111,26939
2020/4/1,1117,1129,1103,1103,19013
2020/4/2,1104,1145,1103.88,1145,24751
2020/4/3,1139.03,1147.96,1131.98,1139.79,16834
2020/4/7,1161.95,1166.5,1148.89,1159.95,21843
2020/4/8,1152,1166.31,1152,1159.76,15110
2020/4/9,1166,1169,1147.96,1158.5,13503
2020/4/10,1157.88,1181.5,1153.5,1165,16007
2020/4/13,1165,1169.98,1148.5,1162.3,9406
2020/4/14,1176,1191.55,1166,1185.1,22210
2020/4/15,1192,1203.99,1187.1,1189.6,19613
2020/4/16,1192.97,1197.1,1184.1,1197.1,13929
2020/4/17,1210,1234.56,1205.01,1226,21998
2020/4/20,1221,1231.5,1216.8,1227.3,16732
2020/4/21,1221.02,1223.99,1193,1200,19733
2020/4/22,1206,1249.5,1202.22,1244.5,27394
2020/4/23,1250,1265.68,1247.77,1252.26,17348
2020/4/24,1248,1259.89,1235.18,1250.56,13376
2020/4/27,1257,1278.17,1250.96,1276,18438
2020/4/28,1285.31,1299.94,1271.88,1279.13,20982
2020/4/29,1277.8,1288.1,1258,1274.9,14473
2020/4/30,1271,1285.01,1258.88,1265.7,14644
2020/5/6,1251,1300,1250,1300,24351
